utime,rotation_rate_x,rotation_rate_y,rotation_rate_z,linear_accel_x,linear_accel_y,linear_accel_z,brake_sensor,steering_sensor,throttle_sensor,meanEffTorque,FL_wheel_speed,FR_wheel_speed,RL_wheel_speed,RR_wheel_speed,value,brake,steering,steering_speed,throttle,vehicle_speed,Severity
1531884259,-0.013816584208,-0.036533062768,0.022693779776,4.54140168846,-1.470111558236,39.477406520848,0.683000139517686,0.7530433297543936,1.1211572774086764,288.6,759.083448,759.280272,754.321308,755.307096,0.1067647873454544,0.0,5.800000000000001,3.8,1054.0,86.96,0
1531884260,-0.0069108513839996,-0.0312742252,0.007590196456,4.738738740672,-1.443142630072,39.2485660553,0.6831774475432312,0.753556306578166,1.1226168593676855,298.62626262626264,832.3404242424243,831.8754060606065,827.0853818181818,827.0803272727272,0.004583692981818,0.0,-0.2,-0.2,1020.0,95.36,0
1531884261,-0.0015592462893616,0.0200434910638296,0.0117014400340424,3.423054437652,-1.598186614624,38.61158950808,0.6830603007384616,0.7533799741060848,0.9738733009570608,208.54545454545453,876.9046666666667,876.0875151515152,872.5409090909092,873.0244606060608,-0.0192745056782608,0.0,-1.6,-4.0,706.0,100.12,0
1531884262,0.033419128672,0.013773570048,-0.012717356944,0.0064921834464644,-1.4391923416565655,39.509614424258594,0.683115754102252,0.7535358807612612,0.555807299916216,-2.74,858.342792,855.65064,855.807432,855.282012,-0.1483000977535352,0.0,-8.8,-12.0,0.0,96.74,0
1531884263,-0.0655146504799996,-0.035138847424,-0.0113054208,-1.60751293058,-1.349897234996,39.129099769628,0.6839918636876596,0.753404463603404,0.4890610923774468,-87.24,751.63416,749.585856,750.41652,749.694276,-0.1717546459591836,0.0,-9.6,3.8,0.0,84.36,0
1531884264,-0.0304436786775508,0.001293575910204,0.0152067857714284,-1.81115613616,-1.7475086057,38.802412471768,0.6893809272478988,0.7534284664323528,0.4855209492642856,-102.14,618.090744,617.300112,616.904796,616.446096,-0.0181805130625,0.0,0.7999999999999996,-8.0,0.0,69.34,0
1531884265,0.0438458764816324,0.019829259355102,0.035616791795918,-1.6364902925359996,-2.182232784636,39.240519599924,0.6983283226747388,0.7537846792956155,0.4856671657344464,-96.76767676767676,484.88086060606065,484.53546666666665,483.33753939393944,484.43943030303024,0.2714076952,0.0,19.200000000000003,27.6,0.0,54.24,0
1531884266,0.0620770142285712,0.0556995435428568,0.1266207763428568,-0.8479554313855668,-1.045547424371134,38.76878671547217,0.6837481946449244,0.7535105038617708,0.5871969307922243,-46.86868686868687,363.7958545454546,367.8681333333333,361.7032727272728,366.6466181818182,1.948228370526316,0.0,137.8,250.8,116.0,41.02,0
1531884267,-0.006518713424,0.036708454336,0.494856540568,0.9200902624,0.019547171364,38.8404114914,0.6829065793324728,0.7556424614576344,0.7219968156159136,83.5959595959596,306.5076363636364,327.06110303030306,302.25676363636364,325.1016242424243,7.99511939327835,0.0,515.5999999999999,509.8,258.0,36.34,0
1531884268,0.012270141730612,-0.0374281254612244,1.074574356155102,1.3344152977306123,1.2836642122530613,39.13999806618776,0.6830487424809356,0.7565475571237424,0.7561857017099416,112.42857142857143,298.9396408163265,345.13813469387753,286.70026530612245,334.08848571428575,16.627841749171132,0.0,1009.2,406.2,344.0,37.14,0
1531884269,0.007706232592,0.011449799944,1.5705744672239996,2.689298267329293,2.499229073531313,39.12364154391515,0.6836089666554972,0.754271557944712,0.8647583250626176,193.54,323.511936,391.132656,298.50528,370.26264,21.41289807548283,0.0,1229.8000000000002,-155.6,546.0,41.62,0
1531884270,0.020203036984,-0.0235770495839996,0.972498727432,4.319528145816,0.912826623992,39.06370380402,0.6839375726661068,0.7545682883588664,0.9895097174253932,267.04,416.959968,462.783264,405.230592,452.051352,10.557385241319148,0.0,467.6,-920.4,782.0,51.34,0
1531884271,0.03219511812,-0.021284214576,-0.02648689008,4.290970428,-1.9016529137079996,39.276769256596,0.6839658809790355,0.7537521178171908,1.0446152230968553,282.949494949495,558.7732606060606,558.2391636363636,556.0876121212121,555.5686787878788,-0.3898959771515148,0.0,-46.4,-67.8,904.0,64.98,0
1531884272,0.0326726419428568,0.0101219605061224,-0.1457563717469384,4.250905833232,-2.26789474072,39.063878288276,0.6839547464289004,0.7534742146265968,1.0815257354546597,279.48,680.423904,673.531728,676.922772,670.017252,-1.1099588859232323,0.0,-63.0,15.8,964.0,78.26,0
1531884273,0.040430953712,0.042233457424,-0.1329671749439996,3.057497935292,-1.697057296032,38.931150093092,0.6839643109291976,0.7533675675054544,0.9653865868992512,205.8,785.324424,778.495632,782.023452,775.7751240000001,-0.8913541933958332,0.0,-48.2,35.6,690.0,89.96,0
1531884274,-0.036717428,-0.0616065301061224,-0.0875747420571428,2.526772995188,-1.5737261101039997,39.062818546312,0.6839363807773744,0.7530399402514408,0.939473153555176,166.76,855.093528,849.909384,850.791756,846.399912,-0.6005342994343432,0.0,-33.0,3.8,682.0,97.9,0
1531884275,-0.0051545428979588,0.014855593885714,-0.0846574597714284,1.6023523053469384,-1.7752550497877553,39.140443140138785,0.683933480229056,0.7532922188742311,0.8425727486651112,122.38775510204081,903.5641102040815,898.0494979591837,900.4221428571428,896.7814775510204,-0.5394720859115788,0.0,-30.200000000000003,11.8,408.0,102.96,0
